lat,lng,prediction
620354.1393,2729847.25,vegetation
561789.1974,2695809.7,vegetation
583101.7032,2704293.83,wetland
583368.8912,2719557.519,wetland
590708.2292,2713498.35,wetland
593733.9824,2742556.809,built-up
581891.7463,2715165.787,wetland
581686.5935,2713520.977,wetland
582385.7041,2728474.243,wetland
571475.6837,2694055.483,built-up
587861.5571,2710740.781,wetland
593716.4419,2745139.678,built-up
562962.213,2721876.62,vegetation
571846.5162,2691631.206,built-up
579031.4427,2727202.466,wetland
618830.3892,2740714.736,vegetation
584589.7708,2718860.46,wetland
588846.06,2702294.077,wetland
563169.2734,2739252.502,vegetation
620439.913,2728204.164,vegetation
560726.5339,2742215.671,vegetation
562987.2784,2732129.468,vegetation
584847.2619,2711817.921,wetland
596658.4299,2743281.426,built-up
621556.4524,2706766.035,vegetation
585526.884,2717770.421,wetland
615507.1659,2727849.168,vegetation
603116.5432,2720315.781,built-up
594525.1752,2720802.755,wetland
580241.0781,2690815.556,built-up
596083.0577,2743825.32,built-up
562882.885,2723598.086,vegetation
583955.8123,2729031.528,wetland
585500.9558,2721996.754,wetland
562522.0065,2692212.884,vegetation
605259.9316,2720801.441,built-up
585401.4314,2703133.638,wetland
563097.0155,2707867.97,vegetation
611573.0158,2691889.528,vegetation
580893.8308,2726743.574,wetland
583976.6209,2725587.828,wetland
600339.379,2708398.309,built-up
592161.3187,2710298.828,wetland
584775.657,2711817.487,wetland
587483.6566,2702442.057,wetland
579388.8642,2714681.735,wetland
592746.8464,2740593.344,built-up
621988.9784,2714675.7,vegetation
619647.219,2695399.771,vegetation
583952.9885,2705707.698,wetland
585852.1333,2711432.716,wetland
587990.4654,2724360.336,wetland
580744.9928,2715393.911,wetland
616192.7586,2705624.705,vegetation
606122.8517,2720260.075,built-up
584858.4115,2721758.019,wetland
569641.8402,2716821.165,vegetation
580730.9586,2717820.111,wetland
589026.0514,2719044.615,wetland
590762.5022,2705123.979,wetland
596216.6624,2745156.891,built-up
600118.7471,2699160.87,vegetation
621100.7089,2726252.967,vegetation
594521.5191,2742327.36,built-up
622037.3129,2717337.535,vegetation
611926.6023,2692518.504,vegetation
583611.4188,2726837.925,wetland
571049.0727,2693348.956,built-up
616083.1143,2692865.203,vegetation
621416.9102,2722811.516,vegetation
584182.4543,2703282.807,wetland
598017.3225,2722861.935,wetland
592515.6951,2743096.497,built-up
611015.3362,2689850.069,vegetation
619841.0414,2739549.285,vegetation
579682.809,2713352.875,wetland
561017.1553,2741121.224,vegetation
593679.0746,2718918.559,wetland
595944.523,2722534.412,wetland
