lat,lng,class,lswi,ci,evi,mndwi,ndbi,ndwi,savi,ndvi,ndpi,wetness,wwi
599398.8101,2709722.198,built-up,-0.07939347,0.8596165,-0.75918144,-0.16593172,0.07939347,-0.07939347,0.11323325,0.07549055,-0.025515212,-0.054657243,0.111274466
599686.3968,2709567.702,built-up,-0.050048277,0.86252755,-0.5747167,-0.1288439,0.050048277,-0.050048277,0.11071193,0.07380963,-0.02850528,-0.026389576,0.102454334
600263.2712,2709023.928,built-up,-0.060519166,0.7971084,-1.2554672,-0.17882906,0.060519166,-0.060519166,0.16934456,0.1128989,-0.023928216,-0.005312987,0.17351606
600339.379,2708398.309,built-up,-0.065192126,0.70264316,-4.4980655,-0.24428755,0.065192126,-0.065192126,0.2619609,0.17464425,-0.018046174,0.050220132,0.29450768
596083.0577,2743825.32,built-up,-0.031027291,0.86877745,-0.426456,-0.09827339,0.031027291,-0.031027291,0.10532504,0.070218384,-0.03176102,0.013821951,0.11209534
592793.5821,2744272.444,built-up,0.042360637,0.6735736,-1.6302289,-0.13646209,-0.042360637,0.042360637,0.2925649,0.19504751,-0.028432168,0.13249329,0.26895538
596093.9528,2742259.939,built-up,0.05006479,0.68012863,-1.2114089,-0.120882176,-0.05006479,0.05006479,0.28557122,0.19038504,-0.037927188,0.1156911,0.23657328
606122.8517,2720260.075,built-up,0.008604974,0.70775795,-4.9619446,-0.16146946,-0.008604974,0.008604974,0.25668383,0.17112616,-0.006679486,0.07915577,0.24062523
603116.5432,2720315.781,built-up,0.01970393,0.62248033,-4.955318,-0.20371068,-0.01970393,0.01970393,0.34901372,0.2326806,-0.016058244,0.13272597,0.33643663
605693.0396,2729727.886,built-up,-0.040706698,0.81773686,-0.9164859,-0.13703156,0.040706698,-0.040706698,0.15040047,0.10026927,-0.01815304,0.006933422,0.14396499
603484.2013,2728615.419,built-up,0.10456408,0.5744362,-1.6063348,-0.12973113,-0.10456408,0.10456408,0.40543434,0.270296,-0.04343834,0.25247502,0.38220614
621988.9784,2714675.7,vegetation,0.15377173,0.44545907,-5.815635,-0.20455009,-0.15377173,0.15377173,0.57545286,0.38364348,-0.036931816,0.32270655,0.5272566
621832.8101,2716161.595,vegetation,0.12759978,0.51299435,-5.4097757,-0.16732688,-0.12759978,0.12759978,0.4828124,0.321882,-0.019427221,0.25584307,0.42316994
622037.3129,2717337.535,vegetation,0.19407107,0.52143407,-1.771202,-0.07847727,-0.19407107,0.19407107,0.4718119,0.31454924,-0.052444894,0.32286194,0.40133923
622375.3134,2719610.533,vegetation,0.12638883,0.49878803,-3.6479466,-0.18016495,-0.12638883,0.12638883,0.501606,0.3344115,-0.03526433,0.29649514,0.47666007
622511.5775,2720394.503,vegetation,0.16543366,0.44695,-7.3655396,-0.18313938,-0.16543366,0.16543366,0.57331467,0.38221776,-0.02130206,0.3395149,0.5226543
